lang,task,test_accuracy,test_duration
ent,write,0.963,0 days 00:00:56.760695
ent,read,0.978,0 days 00:00:56.648684
eno,write,0.0,0 days 00:00:56.601390
eno,read,0.0,0 days 00:00:56.615025
ar,write,0.715,0 days 00:00:56.534768
ar,read,0.942,0 days 00:00:56.624603
br,write,0.636,0 days 00:00:56.449621
br,read,0.475,0 days 00:00:56.505915
de,write,0.423,0 days 00:00:56.674324
de,read,0.387,0 days 00:00:56.682220
en,write,0.173,0 days 00:00:56.458071
en,read,0.131,0 days 00:00:56.426341
eo,write,0.953,0 days 00:00:56.639247
eo,read,0.981,0 days 00:00:56.687453
es,write,0.508,0 days 00:00:56.519501
es,read,0.741,0 days 00:00:56.576456
fi,write,0.912,0 days 00:00:56.692632
fi,read,0.76,0 days 00:00:56.658618
fr,write,0.173,0 days 00:00:56.681529
fr,read,0.455,0 days 00:00:56.770293
fro,write,0.909,0 days 00:00:56.689847
fro,read,0.815,0 days 00:00:56.675516
it,write,0.867,0 days 00:00:56.640667
it,read,0.553,0 days 00:00:56.585986
ko,write,0.664,0 days 00:00:56.698230
ko,read,0.78,0 days 00:00:56.557545
nl,write,0.438,0 days 00:00:56.603675
nl,read,0.314,0 days 00:00:56.591361
pt,write,0.495,0 days 00:00:56.528856
pt,read,0.468,0 days 00:00:56.473247
ru,write,0.218,0 days 00:00:56.738987
ru,read,0.817,0 days 00:00:56.733479
sh,write,0.936,0 days 00:00:56.595049
sh,read,0.949,0 days 00:00:56.663696
tr,write,0.862,0 days 00:00:56.767484
tr,read,0.535,0 days 00:00:56.684880
zh,write,0.005,0 days 00:00:56.704965
zh,read,0.183,0 days 00:00:55.936042
ent,write,0.956,0 days 00:00:56.464532
ent,read,0.981,0 days 00:00:56.491924
eno,write,0.0,0 days 00:00:56.493058
eno,read,0.0,0 days 00:00:56.485099
ar,write,0.712,0 days 00:00:56.335122
ar,read,0.961,0 days 00:00:56.379100
br,write,0.645,0 days 00:00:56.164878
br,read,0.505,0 days 00:00:56.233206
de,write,0.396,0 days 00:00:56.426967
de,read,0.398,0 days 00:00:56.586578
en,write,0.191,0 days 00:00:56.283015
en,read,0.162,0 days 00:00:56.189146
eo,write,0.945,0 days 00:00:56.317697
eo,read,0.979,0 days 00:00:56.318627
es,write,0.562,0 days 00:00:56.280409
es,read,0.73,0 days 00:00:56.384934
fi,write,0.874,0 days 00:00:56.469630
fi,read,0.707,0 days 00:00:56.434420
fr,write,0.169,0 days 00:00:56.380509
fr,read,0.524,0 days 00:00:56.571715
fro,write,0.912,0 days 00:00:56.378345
fro,read,0.838,0 days 00:00:56.398951
it,write,0.861,0 days 00:00:56.349536
it,read,0.581,0 days 00:00:56.354870
ko,write,0.592,0 days 00:00:56.382555
ko,read,0.787,0 days 00:00:56.402504
nl,write,0.426,0 days 00:00:56.288489
nl,read,0.315,0 days 00:00:56.295499
pt,write,0.504,0 days 00:00:56.240945
pt,read,0.51,0 days 00:00:56.247633
ru,write,0.24,0 days 00:00:56.457499
ru,read,0.826,0 days 00:00:56.482264
sh,write,0.934,0 days 00:00:56.438630
sh,read,0.942,0 days 00:00:56.444056
tr,write,0.877,0 days 00:00:56.370246
tr,read,0.674,0 days 00:00:56.397971
zh,write,0.002,0 days 00:00:56.449305
zh,read,0.196,0 days 00:00:55.657502
ent,write,0.96,0 days 00:00:56.680740
ent,read,0.975,0 days 00:00:56.717756
eno,write,0.0,0 days 00:00:56.634111
eno,read,0.0,0 days 00:00:56.652631
ar,write,0.716,0 days 00:00:56.527243
ar,read,0.949,0 days 00:00:56.672600
br,write,0.594,0 days 00:00:56.453795
br,read,0.495,0 days 00:00:56.471948
de,write,0.389,0 days 00:00:56.658011
de,read,0.338,0 days 00:00:56.700182
en,write,0.192,0 days 00:00:56.436853
en,read,0.156,0 days 00:00:56.481757
eo,write,0.951,0 days 00:00:56.655735
eo,read,0.971,0 days 00:00:56.620734
es,write,0.536,0 days 00:00:56.537617
es,read,0.706,0 days 00:00:56.586430
fi,write,0.882,0 days 00:00:56.664148
fi,read,0.715,0 days 00:00:56.652285
fr,write,0.144,0 days 00:00:56.590088
fr,read,0.472,0 days 00:00:56.815833
fro,write,0.931,0 days 00:00:56.747063
fro,read,0.825,0 days 00:00:56.687499
it,write,0.855,0 days 00:00:56.626583
it,read,0.522,0 days 00:00:56.579407
ko,write,0.676,0 days 00:00:56.664550
ko,read,0.772,0 days 00:00:56.546563
nl,write,0.467,0 days 00:00:56.587192
nl,read,0.302,0 days 00:00:56.572236
pt,write,0.503,0 days 00:00:56.461301
pt,read,0.455,0 days 00:00:56.519505
ru,write,0.226,0 days 00:00:56.709627
ru,read,0.855,0 days 00:00:56.733496
sh,write,0.935,0 days 00:00:56.623321
sh,read,0.928,0 days 00:00:56.652157
tr,write,0.897,0 days 00:00:56.709277
tr,read,0.541,0 days 00:00:56.645816
zh,write,0.002,0 days 00:00:56.653668
zh,read,0.171,0 days 00:00:55.918590
ent,write,0.89,0 days 00:00:57.175673
ent,read,0.937,0 days 00:00:57.216691
eno,write,0.0,0 days 00:00:57.144276
eno,read,0.0,0 days 00:00:57.099920
ar,write,0.715,0 days 00:00:57.016254
ar,read,0.935,0 days 00:00:57.084602
br,write,0.604,0 days 00:00:56.857882
br,read,0.486,0 days 00:00:56.977574
de,write,0.406,0 days 00:00:57.141289
de,read,0.374,0 days 00:00:57.199226
en,write,0.194,0 days 00:00:56.880593
en,read,0.158,0 days 00:00:57.039722
eo,write,0.946,0 days 00:00:57.103356
eo,read,0.974,0 days 00:00:57.078878
es,write,0.5,0 days 00:00:57.002560
es,read,0.679,0 days 00:00:57.063525
fi,write,0.843,0 days 00:00:57.103716
fi,read,0.668,0 days 00:00:57.137201
fr,write,0.163,0 days 00:00:57.096108
fr,read,0.511,0 days 00:00:57.241393
fro,write,0.923,0 days 00:00:57.091116
fro,read,0.8,0 days 00:00:57.150581
it,write,0.841,0 days 00:00:57.103540
it,read,0.52,0 days 00:00:57.114052
ko,write,0.656,0 days 00:00:57.123894
ko,read,0.816,0 days 00:00:57.044914
nl,write,0.423,0 days 00:00:56.867802
nl,read,0.292,0 days 00:00:57.021244
pt,write,0.492,0 days 00:00:56.927093
pt,read,0.48,0 days 00:00:57.031516
ru,write,0.237,0 days 00:00:57.135146
ru,read,0.836,0 days 00:00:57.091290
sh,write,0.938,0 days 00:00:57.159361
sh,read,0.921,0 days 00:00:57.066739
tr,write,0.836,0 days 00:00:57.076585
tr,read,0.607,0 days 00:00:57.107128
zh,write,0.002,0 days 00:00:57.096035
zh,read,0.154,0 days 00:00:56.354678
ent,write,0.962,0 days 00:00:57.081262
ent,read,0.974,0 days 00:00:56.645894
eno,write,0.0,0 days 00:00:56.599577
eno,read,0.0,0 days 00:00:56.574531
ar,write,0.713,0 days 00:00:56.416834
ar,read,0.934,0 days 00:00:56.493513
br,write,0.618,0 days 00:00:56.264343
br,read,0.552,0 days 00:00:56.384990
