lang,task,test_accuracy,test_duration
de,write,0.435,0 days 00:00:56.595211
de,read,0.425,0 days 00:00:56.727687
en,write,0.17,0 days 00:00:56.343611
en,read,0.163,0 days 00:00:56.380510
eo,write,0.938,0 days 00:00:56.484038
eo,read,0.968,0 days 00:00:56.443064
es,write,0.5,0 days 00:00:56.404575
es,read,0.72,0 days 00:00:56.532966
fi,write,0.882,0 days 00:00:56.670407
fi,read,0.742,0 days 00:00:56.636323
fr,write,0.191,0 days 00:00:56.489380
fr,read,0.544,0 days 00:00:56.636937
fro,write,0.914,0 days 00:00:56.581250
fro,read,0.829,0 days 00:00:56.546496
it,write,0.865,0 days 00:00:56.500717
it,read,0.573,0 days 00:00:56.589461
ko,write,0.637,0 days 00:00:56.639946
ko,read,0.826,0 days 00:00:56.438777
nl,write,0.46,0 days 00:00:56.376604
nl,read,0.289,0 days 00:00:56.453913
pt,write,0.534,0 days 00:00:56.392950
pt,read,0.53,0 days 00:00:56.395277
ru,write,0.241,0 days 00:00:56.666947
ru,read,0.841,0 days 00:00:56.652507
sh,write,0.952,0 days 00:00:56.497805
sh,read,0.944,0 days 00:00:56.472268
tr,write,0.873,0 days 00:00:56.557094
tr,read,0.635,0 days 00:00:56.552695
zh,write,0.003,0 days 00:00:56.598194
zh,read,0.187,0 days 00:00:55.943742
ent,write,0.949,0 days 00:00:57.083884
ent,read,0.964,0 days 00:00:57.071272
eno,write,0.0,0 days 00:00:56.551877
eno,read,0.0,0 days 00:00:56.505037
ar,write,0.712,0 days 00:00:56.429462
ar,read,0.935,0 days 00:00:56.493148
br,write,0.58,0 days 00:00:56.275939
br,read,0.464,0 days 00:00:56.363245
de,write,0.388,0 days 00:00:56.527075
de,read,0.338,0 days 00:00:56.612906
en,write,0.162,0 days 00:00:56.349305
en,read,0.164,0 days 00:00:56.425287
eo,write,0.914,0 days 00:00:56.487120
eo,read,0.978,0 days 00:00:56.435360
es,write,0.556,0 days 00:00:56.400408
es,read,0.664,0 days 00:00:57.250644
fi,write,0.846,0 days 00:00:57.033492
fi,read,0.652,0 days 00:00:56.550088
fr,write,0.151,0 days 00:00:56.575638
fr,read,0.503,0 days 00:00:56.618790
fro,write,0.924,0 days 00:00:56.553036
fro,read,0.831,0 days 00:00:56.479467
it,write,0.836,0 days 00:00:56.473076
it,read,0.511,0 days 00:00:56.457865
ko,write,0.658,0 days 00:00:56.577778
ko,read,0.773,0 days 00:00:56.514286
nl,write,0.438,0 days 00:00:56.342177
nl,read,0.273,0 days 00:00:56.410439
pt,write,0.499,0 days 00:00:56.387319
pt,read,0.43,0 days 00:00:56.370605
ru,write,0.236,0 days 00:00:56.609332
ru,read,0.831,0 days 00:00:56.646418
sh,write,0.931,0 days 00:00:56.570552
sh,read,0.934,0 days 00:00:56.436684
tr,write,0.862,0 days 00:00:56.527170
tr,read,0.536,0 days 00:00:56.526850
zh,write,0.002,0 days 00:00:56.572641
zh,read,0.152,0 days 00:00:55.814642
ent,write,0.953,0 days 00:00:57.213868
ent,read,0.975,0 days 00:00:56.811409
eno,write,0.0,0 days 00:00:56.681921
eno,read,0.0,0 days 00:00:56.675609
ar,write,0.717,0 days 00:00:56.606800
ar,read,0.937,0 days 00:00:56.707166
br,write,0.597,0 days 00:00:56.393908
br,read,0.474,0 days 00:00:56.516043
de,write,0.41,0 days 00:00:56.712793
de,read,0.375,0 days 00:00:56.776165
en,write,0.177,0 days 00:00:56.430806
en,read,0.16,0 days 00:00:56.548903
eo,write,0.943,0 days 00:00:56.614265
eo,read,0.981,0 days 00:00:56.574300
es,write,0.493,0 days 00:00:56.509993
es,read,0.714,0 days 00:00:56.576854
fi,write,0.897,0 days 00:00:56.656412
fi,read,0.723,0 days 00:00:56.739395
fr,write,0.158,0 days 00:00:56.719110
fr,read,0.506,0 days 00:00:56.833289
fro,write,0.914,0 days 00:00:56.700898
fro,read,0.832,0 days 00:00:56.675759
it,write,0.865,0 days 00:00:56.599794
it,read,0.549,0 days 00:00:56.612101
ko,write,0.628,0 days 00:00:56.679778
ko,read,0.805,0 days 00:00:56.613081
nl,write,0.428,0 days 00:00:56.529468
nl,read,0.282,0 days 00:00:56.561966
pt,write,0.519,0 days 00:00:56.490813
pt,read,0.489,0 days 00:00:56.550563
ru,write,0.252,0 days 00:00:56.728302
ru,read,0.844,0 days 00:00:56.762360
sh,write,0.943,0 days 00:00:56.723662
sh,read,0.95,0 days 00:00:56.671360
tr,write,0.88,0 days 00:00:56.645312
tr,read,0.613,0 days 00:00:56.635428
zh,write,0.005,0 days 00:00:56.718019
zh,read,0.195,0 days 00:00:56.012686
ent,write,0.9,0 days 00:00:56.613945
ent,read,0.952,0 days 00:00:56.651815
eno,write,0.0,0 days 00:00:56.569349
eno,read,0.0,0 days 00:00:56.517098
ar,write,0.713,0 days 00:00:56.446486
ar,read,0.934,0 days 00:00:56.520760
br,write,0.647,0 days 00:00:56.335510
br,read,0.484,0 days 00:00:56.407218
de,write,0.42,0 days 00:00:56.587502
de,read,0.383,0 days 00:00:56.674793
en,write,0.194,0 days 00:00:56.497748
en,read,0.162,0 days 00:00:56.440319
eo,write,0.929,0 days 00:00:56.497084
eo,read,0.96,0 days 00:00:56.504425
es,write,0.538,0 days 00:00:56.391432
es,read,0.667,0 days 00:00:56.482170
fi,write,0.875,0 days 00:00:56.532572
fi,read,0.691,0 days 00:00:56.642518
fr,write,0.162,0 days 00:00:56.576533
fr,read,0.5,0 days 00:00:56.641426
fro,write,0.915,0 days 00:00:56.582840
fro,read,0.841,0 days 00:00:56.564185
it,write,0.842,0 days 00:00:56.520722
it,read,0.53,0 days 00:00:56.547114
ko,write,0.644,0 days 00:00:56.631105
ko,read,0.789,0 days 00:00:56.540799
nl,write,0.433,0 days 00:00:56.373484
nl,read,0.336,0 days 00:00:56.402996
pt,write,0.555,0 days 00:00:56.390875
pt,read,0.513,0 days 00:00:56.445562
ru,write,0.249,0 days 00:00:56.629864
ru,read,0.819,0 days 00:00:56.689859
sh,write,0.928,0 days 00:00:56.553630
sh,read,0.921,0 days 00:00:56.529378
tr,write,0.879,0 days 00:00:56.544659
tr,read,0.668,0 days 00:00:56.573493
zh,write,0.006,0 days 00:00:56.603285
zh,read,0.158,0 days 00:00:55.846362
ent,write,0.939,0 days 00:00:57.118957
ent,read,0.964,0 days 00:00:57.121022
eno,write,0.0,0 days 00:00:57.025829
eno,read,0.0,0 days 00:00:56.950816
ar,write,0.683,0 days 00:00:56.906171
ar,read,0.94,0 days 00:00:56.916876
br,write,0.626,0 days 00:00:56.770856
br,read,0.493,0 days 00:00:56.798883
de,write,0.395,0 days 00:00:57.049459
de,read,0.358,0 days 00:00:57.088246
en,write,0.164,0 days 00:00:56.798054
en,read,0.16,0 days 00:00:56.879081
eo,write,0.913,0 days 00:00:56.925236
eo,read,0.972,0 days 00:00:56.971859
es,write,0.54,0 days 00:00:56.902304
es,read,0.697,0 days 00:00:56.979779
fi,write,0.895,0 days 00:00:57.032553
fi,read,0.723,0 days 00:00:57.024592
fr,write,0.173,0 days 00:00:56.920263
fr,read,0.523,0 days 00:00:57.066758
fro,write,0.929,0 days 00:00:57.031533
fro,read,0.831,0 days 00:00:56.974414
it,write,0.842,0 days 00:00:57.052162
it,read,0.523,0 days 00:00:56.941759
ko,write,0.629,0 days 00:00:56.999756
ko,read,0.798,0 days 00:00:56.854397
nl,write,0.436,0 days 00:00:56.811755
nl,read,0.295,0 days 00:00:56.819863
pt,write,0.538,0 days 00:00:56.850453
pt,read,0.459,0 days 00:00:56.902175
ru,write,0.248,0 days 00:00:57.094876
ru,read,0.821,0 days 00:00:57.001516
sh,write,0.934,0 days 00:00:57.043700
sh,read,0.941,0 days 00:00:56.934786
tr,write,0.881,0 days 00:00:57.000526
tr,read,0.612,0 days 00:00:56.939798
zh,write,0.002,0 days 00:00:57.070424
zh,read,0.171,0 days 00:00:56.260622
ent,write,0.964,0 days 00:00:56.653907
ent,read,0.977,0 days 00:00:56.722059
eno,write,0.0,0 days 00:00:56.676995
eno,read,0.0,0 days 00:00:56.670050
ar,write,0.692,0 days 00:00:56.502070
ar,read,0.93,0 days 00:00:56.685360
br,write,0.648,0 days 00:00:56.463023
br,read,0.498,0 days 00:00:56.510636
de,write,0.423,0 days 00:00:56.650170
de,read,0.415,0 days 00:00:56.785041
en,write,0.196,0 days 00:00:56.374898
en,read,0.158,0 days 00:00:56.499523
eo,write,0.939,0 days 00:00:56.670533
eo,read,0.979,0 days 00:00:56.640010
es,write,0.549,0 days 00:00:56.495641
es,read,0.675,0 days 00:00:56.582306
fi,write,0.883,0 days 00:00:56.645318
fi,read,0.717,0 days 00:00:56.690971
fr,write,0.174,0 days 00:00:56.680818
fr,read,0.535,0 days 00:00:56.835184
fro,write,0.932,0 days 00:00:56.776041
fro,read,0.825,0 days 00:00:56.674430
it,write,0.868,0 days 00:00:56.592351
it,read,0.562,0 days 00:00:56.647074
ko,write,0.658,0 days 00:00:56.710213
ko,read,0.797,0 days 00:00:56.515269
nl,write,0.459,0 days 00:00:56.560680
nl,read,0.294,0 days 00:00:56.691417
pt,write,0.542,0 days 00:00:56.474482
pt,read,0.449,0 days 00:00:56.476957
ru,write,0.265,0 days 00:00:56.675845
ru,read,0.842,0 days 00:00:56.713554
sh,write,0.944,0 days 00:00:56.623457
sh,read,0.937,0 days 00:00:56.656138
tr,write,0.845,0 days 00:00:56.780187
tr,read,0.629,0 days 00:00:56.668427
zh,write,0.002,0 days 00:00:56.684145
zh,read,0.182,0 days 00:00:55.903083
ent,write,0.968,0 days 00:00:57.233840
ent,read,0.988,0 days 00:00:57.307284
eno,write,0.0,0 days 00:00:57.325505
eno,read,0.0,0 days 00:00:57.230603
ar,write,0.71,0 days 00:00:57.246571
ar,read,0.938,0 days 00:00:57.222758
br,write,0.622,0 days 00:00:56.962167
br,read,0.461,0 days 00:00:57.045863
de,write,0.413,0 days 00:00:57.324711
de,read,0.376,0 days 00:00:57.402958
en,write,0.163,0 days 00:00:57.042205
en,read,0.168,0 days 00:00:57.060921
eo,write,0.948,0 days 00:00:57.176563
eo,read,0.984,0 days 00:00:57.153483
es,write,0.53,0 days 00:00:57.126200
es,read,0.707,0 days 00:00:57.204675
fi,write,0.879,0 days 00:00:57.345403
fi,read,0.744,0 days 00:00:57.275440
fr,write,0.155,0 days 00:00:57.241572
fr,read,0.508,0 days 00:00:57.383703
fro,write,0.91,0 days 00:00:57.318989
fro,read,0.842,0 days 00:00:57.226813
it,write,0.855,0 days 00:00:57.248181
it,read,0.556,0 days 00:00:57.270560
ko,write,0.655,0 days 00:00:57.297254
ko,read,0.771,0 days 00:00:57.153472
nl,write,0.43,0 days 00:00:57.109028
nl,read,0.289,0 days 00:00:57.122203
pt,write,0.542,0 days 00:00:57.065203
pt,read,0.455,0 days 00:00:57.197690
ru,write,0.242,0 days 00:00:57.335617
ru,read,0.817,0 days 00:00:57.318234
sh,write,0.944,0 days 00:00:57.187589
sh,read,0.953,0 days 00:00:57.146473
tr,write,0.857,0 days 00:00:57.240235
tr,read,0.567,0 days 00:00:57.256125
zh,write,0.009,0 days 00:00:57.324973
zh,read,0.151,0 days 00:00:56.507199
