lang,task,test_accuracy,test_duration
sh,write,0.977,0 days 00:00:58.001563
sh,read,0.979,0 days 00:00:57.967148
tr,write,0.944,0 days 00:00:58.076920
tr,read,0.885,0 days 00:00:58.022864
zh,write,0.059,0 days 00:00:58.013722
zh,read,0.535,0 days 00:00:57.210960
ent,write,0.994,0 days 00:00:58.429281
ent,read,0.989,0 days 00:00:58.385302
eno,write,0.0,0 days 00:00:58.341179
eno,read,0.0,0 days 00:00:58.370615
ar,write,0.782,0 days 00:00:58.293687
ar,read,0.982,0 days 00:00:58.456252
br,write,0.711,0 days 00:00:58.090050
br,read,0.686,0 days 00:00:58.256889
de,write,0.591,0 days 00:00:58.449594
de,read,0.657,0 days 00:00:58.578659
en,write,0.256,0 days 00:00:58.167011
en,read,0.249,0 days 00:00:58.280655
eo,write,0.988,0 days 00:00:58.369529
eo,read,0.993,0 days 00:00:58.000093
es,write,0.601,0 days 00:00:57.820312
es,read,0.839,0 days 00:00:57.857232
fi,write,0.96,0 days 00:00:57.890917
fi,read,0.892,0 days 00:00:57.961000
fr,write,0.226,0 days 00:00:57.939310
fr,read,0.705,0 days 00:00:58.045058
fro,write,0.985,0 days 00:00:57.961212
fro,read,0.887,0 days 00:00:57.931770
it,write,0.915,0 days 00:00:57.879108
it,read,0.639,0 days 00:00:57.867786
ko,write,0.763,0 days 00:00:57.960990
ko,read,0.929,0 days 00:00:57.907236
nl,write,0.629,0 days 00:00:57.760328
nl,read,0.493,0 days 00:00:57.803538
pt,write,0.661,0 days 00:00:57.756359
pt,read,0.707,0 days 00:00:57.763666
ru,write,0.34,0 days 00:00:57.949437
ru,read,0.942,0 days 00:00:57.957968
sh,write,0.987,0 days 00:00:57.900524
sh,read,0.979,0 days 00:00:57.930125
tr,write,0.944,0 days 00:00:57.918351
tr,read,0.895,0 days 00:00:57.929530
zh,write,0.055,0 days 00:00:57.952187
zh,read,0.507,0 days 00:00:57.115251
ent,write,0.997,0 days 00:00:58.544426
ent,read,0.99,0 days 00:00:58.466643
eno,write,0.0,0 days 00:00:58.419305
eno,read,0.0,0 days 00:00:58.437953
ar,write,0.802,0 days 00:00:58.288564
ar,read,0.973,0 days 00:00:58.403887
br,write,0.748,0 days 00:00:58.159930
br,read,0.67,0 days 00:00:58.301176
de,write,0.551,0 days 00:00:58.412409
de,read,0.643,0 days 00:00:58.511242
en,write,0.265,0 days 00:00:58.293066
en,read,0.248,0 days 00:00:58.284702
eo,write,0.982,0 days 00:00:58.395394
eo,read,0.995,0 days 00:00:58.342539
es,write,0.588,0 days 00:00:58.266237
es,read,0.822,0 days 00:00:58.400816
fi,write,0.958,0 days 00:00:58.391989
fi,read,0.878,0 days 00:00:58.518113
fr,write,0.221,0 days 00:00:58.339453
fr,read,0.693,0 days 00:00:58.563552
fro,write,0.984,0 days 00:00:58.416288
fro,read,0.873,0 days 00:00:58.386353
it,write,0.909,0 days 00:00:57.872011
it,read,0.654,0 days 00:00:57.945404
ko,write,0.763,0 days 00:00:58.007828
ko,read,0.921,0 days 00:00:57.873305
nl,write,0.64,0 days 00:00:57.748652
nl,read,0.449,0 days 00:00:57.858087
pt,write,0.642,0 days 00:00:57.743273
pt,read,0.704,0 days 00:00:57.856561
ru,write,0.344,0 days 00:00:57.966842
ru,read,0.946,0 days 00:00:58.127178
sh,write,0.983,0 days 00:00:58.020720
sh,read,0.989,0 days 00:00:57.883087
tr,write,0.921,0 days 00:00:57.925945
tr,read,0.894,0 days 00:00:57.967017
zh,write,0.045,0 days 00:00:57.972647
zh,read,0.543,0 days 00:00:57.159272
ent,write,0.981,0 days 00:00:58.517424
ent,read,0.995,0 days 00:00:57.851430
eno,write,0.0,0 days 00:00:57.913829
eno,read,0.0,0 days 00:00:57.910018
ar,write,0.802,0 days 00:00:57.827556
ar,read,0.987,0 days 00:00:57.897748
br,write,0.735,0 days 00:00:57.651594
br,read,0.689,0 days 00:00:57.788768
de,write,0.549,0 days 00:00:58.053159
de,read,0.598,0 days 00:00:58.050636
en,write,0.241,0 days 00:00:57.739485
en,read,0.271,0 days 00:00:57.707941
eo,write,0.987,0 days 00:00:57.832160
eo,read,0.994,0 days 00:00:57.838264
es,write,0.621,0 days 00:00:57.809434
es,read,0.841,0 days 00:00:57.897457
fi,write,0.96,0 days 00:00:57.898881
fi,read,0.879,0 days 00:00:57.923029
fr,write,0.21,0 days 00:00:57.854609
fr,read,0.694,0 days 00:00:58.005342
fro,write,0.986,0 days 00:00:57.929584
fro,read,0.875,0 days 00:00:57.968101
it,write,0.924,0 days 00:00:57.902308
it,read,0.651,0 days 00:00:57.864906
ko,write,0.75,0 days 00:00:57.880513
ko,read,0.925,0 days 00:00:57.792740
nl,write,0.611,0 days 00:00:57.720003
nl,read,0.487,0 days 00:00:57.819771
pt,write,0.649,0 days 00:00:57.822336
pt,read,0.693,0 days 00:00:57.866503
ru,write,0.322,0 days 00:00:57.998241
ru,read,0.931,0 days 00:00:57.990434
sh,write,0.985,0 days 00:00:57.858819
sh,read,0.98,0 days 00:00:57.847486
tr,write,0.929,0 days 00:00:57.912831
tr,read,0.852,0 days 00:00:57.960661
zh,write,0.037,0 days 00:00:58.003312
zh,read,0.514,0 days 00:00:57.052146
ent,write,0.989,0 days 00:00:58.134008
ent,read,0.998,0 days 00:00:58.169775
eno,write,0.0,0 days 00:00:58.100471
eno,read,0.0,0 days 00:00:58.151247
ar,write,0.79,0 days 00:00:58.045575
ar,read,0.977,0 days 00:00:58.137130
br,write,0.741,0 days 00:00:57.852369
br,read,0.694,0 days 00:00:57.913173
de,write,0.596,0 days 00:00:58.159162
de,read,0.661,0 days 00:00:58.196309
en,write,0.254,0 days 00:00:57.961203
en,read,0.261,0 days 00:00:57.912970
eo,write,0.986,0 days 00:00:58.065618
eo,read,0.991,0 days 00:00:58.036322
es,write,0.611,0 days 00:00:57.936678
es,read,0.822,0 days 00:00:57.992878
fi,write,0.955,0 days 00:00:58.166949
fi,read,0.884,0 days 00:00:58.184155
fr,write,0.221,0 days 00:00:58.092826
fr,read,0.695,0 days 00:00:58.189232
fro,write,0.982,0 days 00:00:58.164704
fro,read,0.871,0 days 00:00:58.073413
it,write,0.918,0 days 00:00:58.039883
it,read,0.661,0 days 00:00:58.034935
ko,write,0.777,0 days 00:00:58.195839
ko,read,0.929,0 days 00:00:58.143685
nl,write,0.609,0 days 00:00:57.938760
nl,read,0.472,0 days 00:00:57.976471
pt,write,0.656,0 days 00:00:57.947264
pt,read,0.73,0 days 00:00:57.979643
ru,write,0.316,0 days 00:00:58.154927
ru,read,0.918,0 days 00:00:58.225960
sh,write,0.982,0 days 00:00:58.130705
sh,read,0.979,0 days 00:00:58.068087
tr,write,0.915,0 days 00:00:58.130709
tr,read,0.902,0 days 00:00:58.097803
zh,write,0.042,0 days 00:00:58.167661
zh,read,0.517,0 days 00:00:57.244643
ent,write,0.989,0 days 00:00:58.026433
ent,read,0.996,0 days 00:00:57.993834
eno,write,0.0,0 days 00:00:58.020827
eno,read,0.0,0 days 00:00:58.009982
ar,write,0.802,0 days 00:00:57.853345
ar,read,0.987,0 days 00:00:57.908531
br,write,0.711,0 days 00:00:57.694581
br,read,0.675,0 days 00:00:57.802327
de,write,0.588,0 days 00:00:57.967768
de,read,0.684,0 days 00:00:58.118256
en,write,0.28,0 days 00:00:57.829922
en,read,0.241,0 days 00:00:57.809357
eo,write,0.977,0 days 00:00:57.919697
eo,read,0.993,0 days 00:00:57.924086
es,write,0.607,0 days 00:00:57.827078
es,read,0.819,0 days 00:00:57.882037
fi,write,0.967,0 days 00:00:58.038618
fi,read,0.868,0 days 00:00:58.026076
fr,write,0.253,0 days 00:00:57.886044
fr,read,0.718,0 days 00:00:58.114266
fro,write,0.982,0 days 00:00:57.956946
fro,read,0.867,0 days 00:00:57.912055
it,write,0.919,0 days 00:00:57.951669
it,read,0.634,0 days 00:00:57.956070
ko,write,0.786,0 days 00:00:58.021543
ko,read,0.934,0 days 00:00:57.840519
nl,write,0.625,0 days 00:00:57.773281
nl,read,0.464,0 days 00:00:57.861078
pt,write,0.633,0 days 00:00:57.762306
pt,read,0.723,0 days 00:00:57.831348
ru,write,0.371,0 days 00:00:58.140584
ru,read,0.918,0 days 00:00:58.109448
sh,write,0.977,0 days 00:00:57.905075
sh,read,0.983,0 days 00:00:57.877737
tr,write,0.951,0 days 00:00:57.988223
tr,read,0.9,0 days 00:00:58.012144
zh,write,0.071,0 days 00:00:57.980345
zh,read,0.512,0 days 00:00:57.240795
ent,write,0.995,0 days 00:00:58.099404
ent,read,0.996,0 days 00:00:58.052296
eno,write,0.0,0 days 00:00:58.071571
eno,read,0.0,0 days 00:00:58.117851
ar,write,0.8,0 days 00:00:57.931802
ar,read,0.972,0 days 00:00:57.973086
br,write,0.724,0 days 00:00:57.795917
br,read,0.707,0 days 00:00:57.926266
de,write,0.577,0 days 00:00:58.116803
de,read,0.67,0 days 00:00:58.183201
en,write,0.293,0 days 00:00:57.815405
en,read,0.278,0 days 00:00:57.823428
eo,write,0.987,0 days 00:00:57.977749
eo,read,0.994,0 days 00:00:57.996994
es,write,0.601,0 days 00:00:57.950199
es,read,0.834,0 days 00:00:57.972646
fi,write,0.965,0 days 00:00:58.046870
fi,read,0.875,0 days 00:00:58.065644
fr,write,0.241,0 days 00:00:58.006737
fr,read,0.7,0 days 00:00:58.169444
fro,write,0.984,0 days 00:00:58.112354
fro,read,0.853,0 days 00:00:58.084271
it,write,0.925,0 days 00:00:57.962814
it,read,0.661,0 days 00:00:57.971032
ko,write,0.748,0 days 00:00:58.066556
ko,read,0.955,0 days 00:00:57.927523
nl,write,0.634,0 days 00:00:57.867027
nl,read,0.471,0 days 00:00:58.040031
pt,write,0.653,0 days 00:00:57.933285
pt,read,0.75,0 days 00:00:57.901348
ru,write,0.35,0 days 00:00:58.046210
ru,read,0.95,0 days 00:00:58.087932
sh,write,0.985,0 days 00:00:57.956111
sh,read,0.982,0 days 00:00:57.971402
tr,write,0.935,0 days 00:00:58.095255
tr,read,0.893,0 days 00:00:58.061543
zh,write,0.061,0 days 00:00:58.097327
zh,read,0.565,0 days 00:00:57.219964
ent,write,0.985,0 days 00:00:58.500932
ent,read,0.994,0 days 00:00:58.590266
eno,write,0.0,0 days 00:00:58.494711
eno,read,0.0,0 days 00:00:58.561184
ar,write,0.801,0 days 00:00:58.422683
ar,read,0.98,0 days 00:00:58.409508
br,write,0.734,0 days 00:00:58.195449
br,read,0.701,0 days 00:00:58.303503
de,write,0.6,0 days 00:00:58.480526
de,read,0.699,0 days 00:00:58.595070
en,write,0.288,0 days 00:00:58.404153
en,read,0.245,0 days 00:00:58.330906
eo,write,0.958,0 days 00:00:58.368887
eo,read,0.996,0 days 00:00:58.381391
es,write,0.596,0 days 00:00:58.352070
es,read,0.831,0 days 00:00:58.453654
fi,write,0.961,0 days 00:00:58.474742
fi,read,0.884,0 days 00:00:58.560973
fr,write,0.226,0 days 00:00:58.551558
fr,read,0.721,0 days 00:00:58.576528
fro,write,0.975,0 days 00:00:58.491314
fro,read,0.872,0 days 00:00:58.457549
it,write,0.92,0 days 00:00:58.413804
it,read,0.643,0 days 00:00:58.413508
ko,write,0.762,0 days 00:00:58.512388
ko,read,0.934,0 days 00:00:58.466203
nl,write,0.621,0 days 00:00:58.286070
nl,read,0.448,0 days 00:00:58.347271
pt,write,0.658,0 days 00:00:58.284134
pt,read,0.702,0 days 00:00:58.338094
ru,write,0.338,0 days 00:00:58.538985
ru,read,0.938,0 days 00:00:58.577276
sh,write,0.976,0 days 00:00:58.488693
sh,read,0.979,0 days 00:00:58.381689
tr,write,0.918,0 days 00:00:58.531007
tr,read,0.893,0 days 00:00:58.521018
zh,write,0.054,0 days 00:00:58.519054
zh,read,0.538,0 days 00:00:57.641224
ent,write,0.982,0 days 00:00:58.724653
ent,read,0.979,0 days 00:00:58.593110
eno,write,0.0,0 days 00:00:58.607669
eno,read,0.0,0 days 00:00:58.615130
ar,write,0.766,0 days 00:00:58.437622
ar,read,0.981,0 days 00:00:58.510695
br,write,0.72,0 days 00:00:58.333227
br,read,0.683,0 days 00:00:58.409397
de,write,0.582,0 days 00:00:58.601894
de,read,0.647,0 days 00:00:58.621552
en,write,0.259,0 days 00:00:58.377424
en,read,0.271,0 days 00:00:58.345623
eo,write,0.977,0 days 00:00:58.557645
eo,read,0.992,0 days 00:00:58.502250
es,write,0.602,0 days 00:00:58.470838
es,read,0.815,0 days 00:00:58.444932
fi,write,0.951,0 days 00:00:58.712302
fi,read,0.879,0 days 00:00:58.618468
fr,write,0.244,0 days 00:00:58.343844
fr,read,0.7,0 days 00:00:58.220256
fro,write,0.971,0 days 00:00:58.531041
fro,read,0.877,0 days 00:00:58.657836
it,write,0.928,0 days 00:00:58.510508
it,read,0.653,0 days 00:00:58.423244
ko,write,0.778,0 days 00:00:58.202962
ko,read,0.936,0 days 00:00:58.041227
nl,write,0.564,0 days 00:00:57.977788
nl,read,0.458,0 days 00:00:58.104084
pt,write,0.679,0 days 00:00:58.053504
pt,read,0.684,0 days 00:00:58.044901
ru,write,0.333,0 days 00:00:58.183949
ru,read,0.954,0 days 00:00:58.188685
sh,write,0.98,0 days 00:00:58.120072
sh,read,0.987,0 days 00:00:58.075023
tr,write,0.923,0 days 00:00:58.237103
tr,read,0.894,0 days 00:00:58.180121
zh,write,0.055,0 days 00:00:58.178217
zh,read,0.488,0 days 00:00:57.324143
ent,write,0.981,0 days 00:00:58.725544
ent,read,0.985,0 days 00:00:58.690155
eno,write,0.0,0 days 00:00:58.728411
eno,read,0.0,0 days 00:00:58.676840
ar,write,0.796,0 days 00:00:58.510969
ar,read,0.987,0 days 00:00:58.535357
br,write,0.71,0 days 00:00:58.344248
br,read,0.695,0 days 00:00:58.404104
de,write,0.587,0 days 00:00:58.644717
de,read,0.641,0 days 00:00:58.745631
en,write,0.289,0 days 00:00:58.412201
en,read,0.241,0 days 00:00:58.429812
eo,write,0.978,0 days 00:00:58.563941
eo,read,0.986,0 days 00:00:58.529985
es,write,0.599,0 days 00:00:58.448783
es,read,0.836,0 days 00:00:58.498858
fi,write,0.958,0 days 00:00:58.693621
fi,read,0.88,0 days 00:00:58.621809
fr,write,0.248,0 days 00:00:58.548101
fr,read,0.745,0 days 00:00:58.739615
fro,write,0.98,0 days 00:00:58.681623
fro,read,0.879,0 days 00:00:58.705247
it,write,0.906,0 days 00:00:58.589877
it,read,0.687,0 days 00:00:58.638393
ko,write,0.766,0 days 00:00:58.726192
ko,read,0.935,0 days 00:00:58.466571
nl,write,0.61,0 days 00:00:58.451470
nl,read,0.486,0 days 00:00:58.504618
pt,write,0.661,0 days 00:00:58.466456
pt,read,0.723,0 days 00:00:58.499966
ru,write,0.367,0 days 00:00:58.708081
ru,read,0.951,0 days 00:00:58.718050
sh,write,0.983,0 days 00:00:58.622703
sh,read,0.975,0 days 00:00:58.542369
tr,write,0.925,0 days 00:00:58.192079
tr,read,0.89,0 days 00:00:58.156234
zh,write,0.055,0 days 00:00:58.159582
zh,read,0.524,0 days 00:00:57.404186
