lang,task,test_accuracy,test_duration
ent,write,0.986,0 days 00:00:58.121988
ent,read,0.993,0 days 00:00:58.074985
eno,write,0.0,0 days 00:00:58.113897
eno,read,0.0,0 days 00:00:58.182382
ar,write,0.795,0 days 00:00:57.928766
ar,read,0.986,0 days 00:00:57.974276
br,write,0.722,0 days 00:00:57.766824
br,read,0.65,0 days 00:00:57.816285
de,write,0.574,0 days 00:00:58.119321
de,read,0.659,0 days 00:00:58.176373
en,write,0.277,0 days 00:00:57.947645
en,read,0.243,0 days 00:00:57.861107
eo,write,0.974,0 days 00:00:57.975633
eo,read,0.993,0 days 00:00:57.963011
es,write,0.613,0 days 00:00:57.941520
es,read,0.851,0 days 00:00:58.027766
fi,write,0.956,0 days 00:00:58.181125
fi,read,0.894,0 days 00:00:58.108106
fr,write,0.209,0 days 00:00:57.999638
fr,read,0.73,0 days 00:00:58.127137
fro,write,0.99,0 days 00:00:58.064041
fro,read,0.864,0 days 00:00:58.038193
it,write,0.924,0 days 00:00:58.026846
it,read,0.652,0 days 00:00:58.057685
ko,write,0.742,0 days 00:00:58.088785
ko,read,0.936,0 days 00:00:57.919909
nl,write,0.617,0 days 00:00:57.866956
nl,read,0.477,0 days 00:00:57.994675
pt,write,0.638,0 days 00:00:57.930682
pt,read,0.728,0 days 00:00:57.975117
ru,write,0.319,0 days 00:00:58.175263
ru,read,0.94,0 days 00:00:58.116466
sh,write,0.982,0 days 00:00:58.023240
sh,read,0.986,0 days 00:00:57.953496
tr,write,0.917,0 days 00:00:58.053701
tr,read,0.881,0 days 00:00:58.028642
zh,write,0.077,0 days 00:00:58.126435
zh,read,0.543,0 days 00:00:57.298846
ent,write,0.968,0 days 00:00:58.123305
ent,read,0.991,0 days 00:00:58.025080
eno,write,0.0,0 days 00:00:58.055995
eno,read,0.0,0 days 00:00:58.035306
ar,write,0.812,0 days 00:00:57.968742
ar,read,0.98,0 days 00:00:58.090502
br,write,0.715,0 days 00:00:57.765765
br,read,0.688,0 days 00:00:57.827531
de,write,0.583,0 days 00:00:58.070280
de,read,0.676,0 days 00:00:58.115417
en,write,0.295,0 days 00:00:57.769059
en,read,0.252,0 days 00:00:57.862037
eo,write,0.991,0 days 00:00:57.971301
eo,read,0.991,0 days 00:00:57.939934
es,write,0.619,0 days 00:00:57.925571
es,read,0.824,0 days 00:00:57.933227
fi,write,0.959,0 days 00:00:58.024873
fi,read,0.884,0 days 00:00:58.021877
fr,write,0.239,0 days 00:00:57.987052
fr,read,0.697,0 days 00:00:58.129824
fro,write,0.971,0 days 00:00:58.054212
fro,read,0.87,0 days 00:00:58.004257
it,write,0.933,0 days 00:00:57.995550
it,read,0.657,0 days 00:00:57.948537
ko,write,0.78,0 days 00:00:58.004896
ko,read,0.92,0 days 00:00:57.997298
nl,write,0.603,0 days 00:00:57.861850
nl,read,0.472,0 days 00:00:57.928293
pt,write,0.646,0 days 00:00:57.849901
pt,read,0.711,0 days 00:00:57.925143
ru,write,0.297,0 days 00:00:58.043295
ru,read,0.941,0 days 00:00:58.074558
