lang,task,test_accuracy,test_duration
ent,write,0.99,0 days 00:00:58.510545
ent,read,0.995,0 days 00:00:58.419006
eno,write,0.0,0 days 00:00:58.151055
eno,read,0.0,0 days 00:00:57.896746
ar,write,0.781,0 days 00:00:57.789641
ar,read,0.979,0 days 00:00:57.931385
br,write,0.712,0 days 00:00:57.724481
br,read,0.609,0 days 00:00:57.832639
de,write,0.543,0 days 00:00:57.949113
de,read,0.615,0 days 00:00:57.982412
en,write,0.219,0 days 00:00:57.687449
en,read,0.202,0 days 00:00:57.768460
eo,write,0.98,0 days 00:00:57.831530
eo,read,0.992,0 days 00:00:57.885848
es,write,0.581,0 days 00:00:57.831197
es,read,0.826,0 days 00:00:57.829113
fi,write,0.939,0 days 00:00:57.895222
fi,read,0.831,0 days 00:00:57.945848
fr,write,0.194,0 days 00:00:57.848787
fr,read,0.685,0 days 00:00:57.993705
fro,write,0.966,0 days 00:00:57.998680
fro,read,0.862,0 days 00:00:57.985374
it,write,0.898,0 days 00:00:57.818068
it,read,0.625,0 days 00:00:57.834975
ko,write,0.779,0 days 00:00:57.898453
ko,read,0.907,0 days 00:00:57.810230
nl,write,0.603,0 days 00:00:57.793822
nl,read,0.42,0 days 00:00:57.895044
pt,write,0.57,0 days 00:00:57.769501
pt,read,0.64,0 days 00:00:57.776250
ru,write,0.292,0 days 00:00:57.994358
ru,read,0.914,0 days 00:00:57.924352
sh,write,0.965,0 days 00:00:57.912622
sh,read,0.976,0 days 00:00:57.871137
tr,write,0.945,0 days 00:00:57.977908
tr,read,0.849,0 days 00:00:57.982533
zh,write,0.017,0 days 00:00:57.981367
zh,read,0.39,0 days 00:00:57.217634
ent,write,0.994,0 days 00:00:58.011941
ent,read,0.994,0 days 00:00:58.011163
eno,write,0.0,0 days 00:00:57.970384
eno,read,0.0,0 days 00:00:57.898662
ar,write,0.778,0 days 00:00:57.776852
ar,read,0.972,0 days 00:00:57.873127
br,write,0.707,0 days 00:00:57.686465
br,read,0.626,0 days 00:00:57.742203
de,write,0.511,0 days 00:00:58.001391
de,read,0.559,0 days 00:00:58.062712
en,write,0.25,0 days 00:00:57.769441
en,read,0.212,0 days 00:00:57.794077
eo,write,0.978,0 days 00:00:57.881438
eo,read,0.991,0 days 00:00:57.857366
es,write,0.583,0 days 00:00:57.792105
es,read,0.812,0 days 00:00:57.923685
fi,write,0.955,0 days 00:00:57.939569
fi,read,0.831,0 days 00:00:57.905727
fr,write,0.212,0 days 00:00:57.840987
fr,read,0.654,0 days 00:00:57.975000
fro,write,0.968,0 days 00:00:57.917164
fro,read,0.858,0 days 00:00:57.882162
it,write,0.918,0 days 00:00:57.944867
it,read,0.632,0 days 00:00:57.874383
ko,write,0.742,0 days 00:00:57.867752
ko,read,0.881,0 days 00:00:57.794260
nl,write,0.549,0 days 00:00:57.733777
nl,read,0.437,0 days 00:00:57.802796
pt,write,0.617,0 days 00:00:57.788999
pt,read,0.646,0 days 00:00:57.882209
ru,write,0.326,0 days 00:00:57.986421
ru,read,0.913,0 days 00:00:58.013918
sh,write,0.97,0 days 00:00:57.890248
sh,read,0.981,0 days 00:00:57.848405
tr,write,0.928,0 days 00:00:57.903357
tr,read,0.794,0 days 00:00:57.903880
zh,write,0.028,0 days 00:00:57.986815
zh,read,0.414,0 days 00:00:57.236966
ent,write,0.976,0 days 00:00:58.179276
ent,read,0.992,0 days 00:00:58.115417
eno,write,0.0,0 days 00:00:58.074965
