lang,task,test_accuracy,test_duration
eno,read,0.0,0 days 00:00:58.048648
ar,write,0.767,0 days 00:00:57.945789
ar,read,0.971,0 days 00:00:58.024190
br,write,0.694,0 days 00:00:57.751668
br,read,0.63,0 days 00:00:57.897683
de,write,0.509,0 days 00:00:58.136391
de,read,0.579,0 days 00:00:58.095388
en,write,0.261,0 days 00:00:57.787796
en,read,0.242,0 days 00:00:57.862026
eo,write,0.98,0 days 00:00:57.932508
eo,read,0.988,0 days 00:00:57.905504
es,write,0.54,0 days 00:00:57.965083
es,read,0.801,0 days 00:00:58.005223
fi,write,0.934,0 days 00:00:57.999883
fi,read,0.837,0 days 00:00:58.015518
fr,write,0.216,0 days 00:00:57.987629
fr,read,0.646,0 days 00:00:58.128601
fro,write,0.977,0 days 00:00:58.053797
fro,read,0.868,0 days 00:00:58.053482
it,write,0.9,0 days 00:00:58.069907
it,read,0.637,0 days 00:00:57.946282
ko,write,0.718,0 days 00:00:58.067165
ko,read,0.926,0 days 00:00:57.916177
nl,write,0.556,0 days 00:00:57.864569
nl,read,0.423,0 days 00:00:57.941036
pt,write,0.585,0 days 00:00:58.031214
pt,read,0.62,0 days 00:00:58.017924
ru,write,0.302,0 days 00:00:58.096268
ru,read,0.904,0 days 00:00:58.113515
sh,write,0.972,0 days 00:00:58.015508
sh,read,0.979,0 days 00:00:57.942988
tr,write,0.918,0 days 00:00:58.046745
tr,read,0.801,0 days 00:00:58.072326
zh,write,0.024,0 days 00:00:58.170432
zh,read,0.401,0 days 00:00:57.315005
ent,write,0.936,0 days 00:00:58.210132
ent,read,0.977,0 days 00:00:58.184823
eno,write,0.0,0 days 00:00:58.283716
eno,read,0.0,0 days 00:00:58.329356
ar,write,0.784,0 days 00:00:58.371352
ar,read,0.965,0 days 00:00:58.335685
br,write,0.69,0 days 00:00:57.889878
br,read,0.622,0 days 00:00:58.200013
de,write,0.526,0 days 00:00:58.309415
de,read,0.567,0 days 00:00:58.362020
en,write,0.226,0 days 00:00:58.285990
en,read,0.222,0 days 00:00:58.143414
eo,write,0.948,0 days 00:00:58.302452
eo,read,0.99,0 days 00:00:58.340745
es,write,0.573,0 days 00:00:58.207059
es,read,0.803,0 days 00:00:58.225891
fi,write,0.951,0 days 00:00:58.201958
fi,read,0.841,0 days 00:00:58.401842
fr,write,0.216,0 days 00:00:58.318340
fr,read,0.632,0 days 00:00:58.456535
fro,write,0.971,0 days 00:00:58.246359
fro,read,0.857,0 days 00:00:58.286866
it,write,0.911,0 days 00:00:58.225024
it,read,0.631,0 days 00:00:58.280186
ko,write,0.757,0 days 00:00:58.255803
ko,read,0.887,0 days 00:00:58.319636
nl,write,0.544,0 days 00:00:58.203529
nl,read,0.425,0 days 00:00:58.172836
pt,write,0.63,0 days 00:00:58.157804
pt,read,0.67,0 days 00:00:58.196817
ru,write,0.289,0 days 00:00:58.381287
ru,read,0.908,0 days 00:00:58.481033
sh,write,0.979,0 days 00:00:58.150438
sh,read,0.975,0 days 00:00:58.279832
tr,write,0.917,0 days 00:00:58.329102
tr,read,0.85,0 days 00:00:58.296340
zh,write,0.016,0 days 00:00:58.264675
zh,read,0.353,0 days 00:00:57.573193
ent,write,0.956,0 days 00:00:57.974086
ent,read,0.993,0 days 00:00:57.975079
eno,write,0.0,0 days 00:00:57.946331
eno,read,0.0,0 days 00:00:58.064172
ar,write,0.757,0 days 00:00:57.886489
ar,read,0.971,0 days 00:00:57.926680
br,write,0.686,0 days 00:00:57.718548
br,read,0.632,0 days 00:00:57.747047
de,write,0.517,0 days 00:00:57.964551
de,read,0.59,0 days 00:00:58.017807
en,write,0.252,0 days 00:00:57.864799
en,read,0.222,0 days 00:00:57.830057
eo,write,0.97,0 days 00:00:57.837211
eo,read,0.991,0 days 00:00:57.883625
es,write,0.592,0 days 00:00:57.843640
es,read,0.819,0 days 00:00:57.868413
fi,write,0.954,0 days 00:00:57.947232
fi,read,0.854,0 days 00:00:58.017969
fr,write,0.201,0 days 00:00:58.014020
fr,read,0.661,0 days 00:00:58.011023
fro,write,0.953,0 days 00:00:57.912943
fro,read,0.859,0 days 00:00:57.921841
it,write,0.911,0 days 00:00:57.886720
it,read,0.615,0 days 00:00:57.894965
ko,write,0.734,0 days 00:00:58.027593
ko,read,0.892,0 days 00:00:57.940654
nl,write,0.557,0 days 00:00:57.769554
nl,read,0.422,0 days 00:00:57.859422
pt,write,0.617,0 days 00:00:57.786563
pt,read,0.639,0 days 00:00:57.793782
ru,write,0.282,0 days 00:00:57.957734
ru,read,0.898,0 days 00:00:58.053196
sh,write,0.97,0 days 00:00:57.942628
sh,read,0.974,0 days 00:00:57.885185
tr,write,0.91,0 days 00:00:57.917274
tr,read,0.843,0 days 00:00:57.958875
zh,write,0.021,0 days 00:00:57.961882
zh,read,0.393,0 days 00:00:57.182895
ent,write,0.991,0 days 00:00:58.099900
ent,read,0.994,0 days 00:00:58.001176
eno,write,0.0,0 days 00:00:57.914232
eno,read,0.0,0 days 00:00:57.935926
ar,write,0.767,0 days 00:00:57.922810
ar,read,0.976,0 days 00:00:57.886166
br,write,0.704,0 days 00:00:57.746732
br,read,0.638,0 days 00:00:57.851245
de,write,0.519,0 days 00:00:58.001021
de,read,0.579,0 days 00:00:57.969989
en,write,0.223,0 days 00:00:57.754767
en,read,0.229,0 days 00:00:57.883426
eo,write,0.98,0 days 00:00:57.892727
eo,read,0.986,0 days 00:00:57.885154
es,write,0.597,0 days 00:00:57.875591
es,read,0.811,0 days 00:00:57.896970
fi,write,0.956,0 days 00:00:57.981218
fi,read,0.833,0 days 00:00:57.949196
fr,write,0.209,0 days 00:00:57.894234
fr,read,0.697,0 days 00:00:58.045247
fro,write,0.969,0 days 00:00:57.976938
fro,read,0.858,0 days 00:00:57.977893
it,write,0.895,0 days 00:00:57.925640
it,read,0.602,0 days 00:00:57.825330
ko,write,0.723,0 days 00:00:57.918605
ko,read,0.909,0 days 00:00:57.849970
nl,write,0.545,0 days 00:00:57.791735
nl,read,0.398,0 days 00:00:57.863131
pt,write,0.617,0 days 00:00:57.917677
pt,read,0.663,0 days 00:00:57.842166
ru,write,0.318,0 days 00:00:57.946464
ru,read,0.907,0 days 00:00:57.980632
sh,write,0.977,0 days 00:00:57.929980
sh,read,0.976,0 days 00:00:57.888341
tr,write,0.928,0 days 00:00:58.002521
tr,read,0.835,0 days 00:00:57.973075
zh,write,0.027,0 days 00:00:58.039470
zh,read,0.416,0 days 00:00:57.170542
ent,write,0.959,0 days 00:00:58.099064
ent,read,0.988,0 days 00:00:58.032475
eno,write,0.0,0 days 00:00:57.918472
eno,read,0.0,0 days 00:00:57.989985
ar,write,0.77,0 days 00:00:57.800185
ar,read,0.975,0 days 00:00:57.841077
br,write,0.684,0 days 00:00:57.663968
br,read,0.623,0 days 00:00:57.818824
de,write,0.503,0 days 00:00:58.007659
de,read,0.578,0 days 00:00:57.989612
en,write,0.237,0 days 00:00:57.720017
en,read,0.243,0 days 00:00:57.753403
eo,write,0.98,0 days 00:00:57.846518
eo,read,0.991,0 days 00:00:57.851353
es,write,0.564,0 days 00:00:57.868570
es,read,0.809,0 days 00:00:57.961723
fi,write,0.936,0 days 00:00:57.976583
fi,read,0.867,0 days 00:00:57.910523
fr,write,0.2,0 days 00:00:57.850986
fr,read,0.666,0 days 00:00:57.986742
fro,write,0.966,0 days 00:00:57.904239
fro,read,0.862,0 days 00:00:57.972197
it,write,0.92,0 days 00:00:57.920988
it,read,0.575,0 days 00:00:57.848483
ko,write,0.706,0 days 00:00:57.908934
ko,read,0.905,0 days 00:00:57.812892
nl,write,0.577,0 days 00:00:57.747175
nl,read,0.412,0 days 00:00:57.762635
pt,write,0.621,0 days 00:00:57.820254
pt,read,0.641,0 days 00:00:57.874274
ru,write,0.28,0 days 00:00:57.917284
ru,read,0.912,0 days 00:00:57.916017
sh,write,0.96,0 days 00:00:57.846931
sh,read,0.974,0 days 00:00:57.853453
tr,write,0.931,0 days 00:00:57.866164
tr,read,0.779,0 days 00:00:57.988044
zh,write,0.016,0 days 00:00:58.066472
zh,read,0.377,0 days 00:00:57.180455
ent,write,0.971,0 days 00:00:58.099319
ent,read,0.985,0 days 00:00:58.046316
eno,write,0.0,0 days 00:00:58.027115
eno,read,0.0,0 days 00:00:58.121345
ar,write,0.788,0 days 00:00:57.978425
ar,read,0.972,0 days 00:00:57.993079
br,write,0.665,0 days 00:00:57.798709
br,read,0.619,0 days 00:00:57.833399
de,write,0.53,0 days 00:00:58.042177
de,read,0.599,0 days 00:00:58.057099
en,write,0.252,0 days 00:00:57.943688
en,read,0.239,0 days 00:00:57.854830
eo,write,0.961,0 days 00:00:57.953399
eo,read,0.986,0 days 00:00:57.943333
es,write,0.602,0 days 00:00:57.902234
es,read,0.796,0 days 00:00:57.931554
fi,write,0.948,0 days 00:00:58.014081
fi,read,0.843,0 days 00:00:58.061695
fr,write,0.196,0 days 00:00:58.034300
fr,read,0.657,0 days 00:00:58.087475
fro,write,0.971,0 days 00:00:58.120757
fro,read,0.869,0 days 00:00:58.043103
it,write,0.897,0 days 00:00:57.930488
it,read,0.583,0 days 00:00:57.975933
ko,write,0.738,0 days 00:00:58.101122
ko,read,0.918,0 days 00:00:58.003193
nl,write,0.543,0 days 00:00:57.907608
nl,read,0.442,0 days 00:00:57.907456
pt,write,0.625,0 days 00:00:57.890249
pt,read,0.608,0 days 00:00:57.888789
ru,write,0.32,0 days 00:00:58.063323
ru,read,0.906,0 days 00:00:58.126607
sh,write,0.972,0 days 00:00:57.990688
sh,read,0.978,0 days 00:00:57.911880
tr,write,0.93,0 days 00:00:58.031518
tr,read,0.836,0 days 00:00:58.023048
zh,write,0.023,0 days 00:00:58.047363
zh,read,0.398,0 days 00:00:57.270357
ent,write,0.981,0 days 00:00:58.555498
ent,read,0.992,0 days 00:00:58.506033
eno,write,0.0,0 days 00:00:58.475187
eno,read,0.0,0 days 00:00:58.480919
ar,write,0.769,0 days 00:00:58.333229
ar,read,0.967,0 days 00:00:58.437968
br,write,0.691,0 days 00:00:58.211805
br,read,0.633,0 days 00:00:58.322064
de,write,0.535,0 days 00:00:58.564127
de,read,0.603,0 days 00:00:58.508454
en,write,0.252,0 days 00:00:58.232989
en,read,0.219,0 days 00:00:58.249969
eo,write,0.983,0 days 00:00:58.351312
eo,read,0.988,0 days 00:00:58.356002
es,write,0.6,0 days 00:00:58.070117
es,read,0.813,0 days 00:00:57.998194
fi,write,0.938,0 days 00:00:57.978196
fi,read,0.836,0 days 00:00:57.952984
fr,write,0.243,0 days 00:00:57.922567
fr,read,0.644,0 days 00:00:58.026494
fro,write,0.967,0 days 00:00:57.995731
fro,read,0.841,0 days 00:00:58.009501
it,write,0.916,0 days 00:00:58.025690
it,read,0.628,0 days 00:00:57.937444
ko,write,0.746,0 days 00:00:57.994354
ko,read,0.914,0 days 00:00:57.867001
nl,write,0.562,0 days 00:00:57.830271
nl,read,0.409,0 days 00:00:57.847161
pt,write,0.63,0 days 00:00:57.907174
pt,read,0.602,0 days 00:00:57.934711
ru,write,0.282,0 days 00:00:58.022870
ru,read,0.91,0 days 00:00:57.980785
sh,write,0.975,0 days 00:00:57.954824
sh,read,0.972,0 days 00:00:57.907441
tr,write,0.921,0 days 00:00:57.952864
tr,read,0.857,0 days 00:00:58.033504
zh,write,0.02,0 days 00:00:58.078368
zh,read,0.39,0 days 00:00:57.234491
ent,write,0.971,0 days 00:00:58.108746
ent,read,0.979,0 days 00:00:58.152533
eno,write,0.0,0 days 00:00:58.048770
eno,read,0.0,0 days 00:00:58.121087
ar,write,0.777,0 days 00:00:58.025250
ar,read,0.967,0 days 00:00:58.080034
br,write,0.699,0 days 00:00:57.851234
br,read,0.652,0 days 00:00:57.849127
de,write,0.515,0 days 00:00:58.065018
de,read,0.569,0 days 00:00:58.129427
en,write,0.231,0 days 00:00:57.957529
en,read,0.251,0 days 00:00:57.930633
eo,write,0.978,0 days 00:00:58.021356
eo,read,0.993,0 days 00:00:57.953666
es,write,0.597,0 days 00:00:57.946565
es,read,0.808,0 days 00:00:58.087591
fi,write,0.956,0 days 00:00:58.061574
fi,read,0.822,0 days 00:00:58.094109
fr,write,0.19,0 days 00:00:58.028794
fr,read,0.671,0 days 00:00:58.095870
fro,write,0.97,0 days 00:00:58.103501
fro,read,0.868,0 days 00:00:58.028770
it,write,0.914,0 days 00:00:58.034984
it,read,0.603,0 days 00:00:58.024349
ko,write,0.737,0 days 00:00:58.093507
ko,read,0.909,0 days 00:00:57.992911
nl,write,0.545,0 days 00:00:57.909025
nl,read,0.442,0 days 00:00:57.906409
pt,write,0.628,0 days 00:00:57.868026
pt,read,0.632,0 days 00:00:57.930967
ru,write,0.303,0 days 00:00:58.072999
ru,read,0.912,0 days 00:00:58.178985
sh,write,0.965,0 days 00:00:58.037610
sh,read,0.974,0 days 00:00:57.952080
tr,write,0.9,0 days 00:00:58.028876
tr,read,0.815,0 days 00:00:58.005606
zh,write,0.016,0 days 00:00:58.082407
zh,read,0.374,0 days 00:00:57.331461
ent,write,0.977,0 days 00:00:58.141492
ent,read,0.991,0 days 00:00:58.209473
eno,write,0.0,0 days 00:00:58.162454
eno,read,0.0,0 days 00:00:58.132525
ar,write,0.767,0 days 00:00:58.215270
ar,read,0.977,0 days 00:00:58.232889
br,write,0.685,0 days 00:00:57.986592
br,read,0.63,0 days 00:00:57.997744
de,write,0.523,0 days 00:00:58.177941
de,read,0.578,0 days 00:00:58.229218
en,write,0.248,0 days 00:00:57.964241
en,read,0.215,0 days 00:00:58.004737
eo,write,0.979,0 days 00:00:58.179694
eo,read,0.991,0 days 00:00:58.157908
es,write,0.596,0 days 00:00:58.051387
es,read,0.809,0 days 00:00:58.061732
fi,write,0.954,0 days 00:00:58.210017
fi,read,0.831,0 days 00:00:58.146918
fr,write,0.215,0 days 00:00:58.170369
fr,read,0.677,0 days 00:00:58.269378
fro,write,0.957,0 days 00:00:58.268589
fro,read,0.87,0 days 00:00:58.109585
it,write,0.909,0 days 00:00:58.131019
it,read,0.626,0 days 00:00:58.099580
ko,write,0.75,0 days 00:00:58.154397
ko,read,0.89,0 days 00:00:58.108344
nl,write,0.563,0 days 00:00:58.061904
nl,read,0.437,0 days 00:00:58.069408
pt,write,0.605,0 days 00:00:58.038514
pt,read,0.601,0 days 00:00:57.974715
ru,write,0.301,0 days 00:00:58.156806
ru,read,0.912,0 days 00:00:58.183389
sh,write,0.972,0 days 00:00:58.189308
sh,read,0.966,0 days 00:00:58.143323
tr,write,0.925,0 days 00:00:58.216307
tr,read,0.814,0 days 00:00:58.128643
zh,write,0.035,0 days 00:00:58.166451
zh,read,0.367,0 days 00:00:57.384137
