lang,task,test_accuracy,test_duration
sh,write,0.986,0 days 00:00:57.237315
sh,read,0.994,0 days 00:00:57.209557
tr,write,0.962,0 days 00:00:57.329570
tr,read,0.953,0 days 00:00:57.365290
zh,write,0.184,0 days 00:00:57.377025
zh,read,0.793,0 days 00:00:56.615202
ent,write,0.996,0 days 00:00:57.859254
ent,read,0.997,0 days 00:00:57.858116
eno,write,0.0,0 days 00:00:57.761284
eno,read,0.0,0 days 00:00:57.751532
ar,write,0.838,0 days 00:00:57.682312
ar,read,0.997,0 days 00:00:57.507913
br,write,0.799,0 days 00:00:57.042918
br,read,0.779,0 days 00:00:57.167217
de,write,0.698,0 days 00:00:57.390158
de,read,0.76,0 days 00:00:57.367735
en,write,0.349,0 days 00:00:57.122862
en,read,0.312,0 days 00:00:57.090352
eo,write,0.993,0 days 00:00:57.172105
eo,read,0.995,0 days 00:00:57.198398
es,write,0.675,0 days 00:00:57.231904
es,read,0.844,0 days 00:00:57.245901
fi,write,0.975,0 days 00:00:57.248230
fi,read,0.928,0 days 00:00:57.269301
fr,write,0.256,0 days 00:00:57.201345
fr,read,0.76,0 days 00:00:57.310002
fro,write,0.983,0 days 00:00:57.284543
fro,read,0.899,0 days 00:00:57.322983
it,write,0.94,0 days 00:00:57.228617
it,read,0.717,0 days 00:00:57.209804
ko,write,0.807,0 days 00:00:57.219207
ko,read,0.978,0 days 00:00:57.134475
nl,write,0.731,0 days 00:00:57.082135
nl,read,0.563,0 days 00:00:57.159771
pt,write,0.779,0 days 00:00:57.145010
pt,read,0.836,0 days 00:00:57.187598
ru,write,0.43,0 days 00:00:57.302468
ru,read,0.968,0 days 00:00:57.297741
sh,write,0.992,0 days 00:00:57.225880
sh,read,0.992,0 days 00:00:57.149421
tr,write,0.944,0 days 00:00:57.233900
tr,read,0.953,0 days 00:00:57.337150
zh,write,0.222,0 days 00:00:57.307564
zh,read,0.777,0 days 00:00:56.543560
ent,write,0.997,0 days 00:00:57.880344
ent,read,0.999,0 days 00:00:57.323253
eno,write,0.0,0 days 00:00:57.334348
eno,read,0.001,0 days 00:00:57.277888
ar,write,0.837,0 days 00:00:57.206698
ar,read,0.996,0 days 00:00:57.256239
br,write,0.811,0 days 00:00:57.086822
br,read,0.78,0 days 00:00:57.185919
de,write,0.704,0 days 00:00:57.411776
de,read,0.769,0 days 00:00:57.505735
en,write,0.4,0 days 00:00:57.102107
en,read,0.288,0 days 00:00:57.129024
eo,write,0.996,0 days 00:00:57.247440
eo,read,0.998,0 days 00:00:57.220959
es,write,0.677,0 days 00:00:57.162251
es,read,0.84,0 days 00:00:57.290432
fi,write,0.981,0 days 00:00:57.450975
fi,read,0.91,0 days 00:00:57.396261
fr,write,0.279,0 days 00:00:57.444658
fr,read,0.796,0 days 00:00:57.420371
fro,write,0.995,0 days 00:00:57.579561
fro,read,0.906,0 days 00:00:57.248003
it,write,0.941,0 days 00:00:57.351768
it,read,0.713,0 days 00:00:57.559103
ko,write,0.802,0 days 00:00:57.359615
ko,read,0.976,0 days 00:00:57.359924
nl,write,0.726,0 days 00:00:57.096175
nl,read,0.562,0 days 00:00:57.183374
pt,write,0.751,0 days 00:00:57.150270
pt,read,0.834,0 days 00:00:57.260563
ru,write,0.426,0 days 00:00:57.432755
ru,read,0.964,0 days 00:00:57.332035
sh,write,0.991,0 days 00:00:57.194916
sh,read,0.994,0 days 00:00:57.202585
tr,write,0.947,0 days 00:00:57.517186
tr,read,0.948,0 days 00:00:57.337412
zh,write,0.215,0 days 00:00:57.350326
zh,read,0.789,0 days 00:00:56.708519
ent,write,0.994,0 days 00:00:57.862898
