lang,task,test_accuracy,test_duration
ent,write,0.998,0 days 00:00:58.546483
ent,read,0.997,0 days 00:00:58.473683
eno,write,0.0,0 days 00:00:58.416046
eno,read,0.0,0 days 00:00:58.479636
ar,write,0.828,0 days 00:00:58.374022
ar,read,0.989,0 days 00:00:58.369396
br,write,0.775,0 days 00:00:58.145338
br,read,0.722,0 days 00:00:58.213026
de,write,0.65,0 days 00:00:58.402238
de,read,0.7,0 days 00:00:58.468860
en,write,0.328,0 days 00:00:58.236585
en,read,0.264,0 days 00:00:58.308984
eo,write,0.99,0 days 00:00:58.331157
eo,read,0.995,0 days 00:00:58.375400
es,write,0.599,0 days 00:00:58.345966
es,read,0.849,0 days 00:00:58.378937
fi,write,0.96,0 days 00:00:58.510165
fi,read,0.904,0 days 00:00:58.532788
fr,write,0.272,0 days 00:00:58.439413
fr,read,0.727,0 days 00:00:58.525393
fro,write,0.99,0 days 00:00:58.480380
fro,read,0.877,0 days 00:00:58.473235
it,write,0.94,0 days 00:00:58.435428
it,read,0.688,0 days 00:00:58.480159
ko,write,0.756,0 days 00:00:58.566899
ko,read,0.958,0 days 00:00:58.396987
nl,write,0.659,0 days 00:00:58.285088
nl,read,0.522,0 days 00:00:58.369071
pt,write,0.672,0 days 00:00:58.343838
pt,read,0.744,0 days 00:00:58.329124
ru,write,0.358,0 days 00:00:58.628769
ru,read,0.96,0 days 00:00:58.571895
sh,write,0.992,0 days 00:00:58.444954
sh,read,0.994,0 days 00:00:58.395989
tr,write,0.944,0 days 00:00:58.490669
tr,read,0.893,0 days 00:00:58.459573
zh,write,0.121,0 days 00:00:58.504623
zh,read,0.648,0 days 00:00:57.687981
ent,write,0.941,0 days 00:00:59.000774
ent,read,0.996,0 days 00:00:58.988404
eno,write,0.0,0 days 00:00:58.957281
eno,read,0.0,0 days 00:00:58.937228
ar,write,0.825,0 days 00:00:58.564702
ar,read,0.99,0 days 00:00:58.395339
br,write,0.757,0 days 00:00:58.169753
br,read,0.715,0 days 00:00:58.252401
de,write,0.631,0 days 00:00:58.512315
de,read,0.72,0 days 00:00:58.603421
en,write,0.305,0 days 00:00:58.229347
en,read,0.308,0 days 00:00:58.302996
eo,write,0.951,0 days 00:00:58.339690
eo,read,0.996,0 days 00:00:58.319808
es,write,0.627,0 days 00:00:58.263926
es,read,0.857,0 days 00:00:58.396049
fi,write,0.966,0 days 00:00:58.509058
fi,read,0.898,0 days 00:00:58.454127
fr,write,0.232,0 days 00:00:58.346601
fr,read,0.725,0 days 00:00:58.491656
fro,write,0.98,0 days 00:00:58.458424
fro,read,0.861,0 days 00:00:58.425775
it,write,0.944,0 days 00:00:58.446245
it,read,0.679,0 days 00:00:58.426927
ko,write,0.806,0 days 00:00:58.394104
ko,read,0.963,0 days 00:00:58.305552
nl,write,0.646,0 days 00:00:58.274332
nl,read,0.48,0 days 00:00:58.318457
pt,write,0.669,0 days 00:00:58.277441
pt,read,0.759,0 days 00:00:58.372870
ru,write,0.377,0 days 00:00:58.537759
ru,read,0.944,0 days 00:00:58.462230
sh,write,0.982,0 days 00:00:58.418728
sh,read,0.988,0 days 00:00:58.371078
tr,write,0.944,0 days 00:00:58.421968
tr,read,0.911,0 days 00:00:58.424781
zh,write,0.135,0 days 00:00:58.485293
zh,read,0.683,0 days 00:00:57.672366
ent,write,0.991,0 days 00:00:58.611935
ent,read,0.996,0 days 00:00:58.535732
eno,write,0.0,0 days 00:00:58.476015
eno,read,0.0,0 days 00:00:58.436421
ar,write,0.838,0 days 00:00:58.301329
ar,read,0.988,0 days 00:00:58.376624
br,write,0.756,0 days 00:00:58.544571
br,read,0.747,0 days 00:00:58.291261
de,write,0.63,0 days 00:00:58.550926
de,read,0.719,0 days 00:00:58.519121
en,write,0.322,0 days 00:00:58.246844
en,read,0.277,0 days 00:00:58.243507
eo,write,0.99,0 days 00:00:58.365307
eo,read,0.997,0 days 00:00:58.342742
es,write,0.647,0 days 00:00:58.368872
es,read,0.84,0 days 00:00:58.458319
fi,write,0.967,0 days 00:00:58.432933
fi,read,0.891,0 days 00:00:58.462634
fr,write,0.256,0 days 00:00:58.420268
fr,read,0.75,0 days 00:00:58.499675
fro,write,0.987,0 days 00:00:58.476488
fro,read,0.886,0 days 00:00:58.511104
it,write,0.934,0 days 00:00:58.460485
it,read,0.691,0 days 00:00:58.367872
ko,write,0.793,0 days 00:00:58.479921
ko,read,0.978,0 days 00:00:58.337230
nl,write,0.676,0 days 00:00:58.254400
nl,read,0.501,0 days 00:00:58.342625
pt,write,0.724,0 days 00:00:58.341919
pt,read,0.78,0 days 00:00:58.374662
ru,write,0.358,0 days 00:00:58.495304
ru,read,0.954,0 days 00:00:58.465473
sh,write,0.986,0 days 00:00:58.371996
sh,read,0.989,0 days 00:00:58.340009
tr,write,0.937,0 days 00:00:58.474268
tr,read,0.912,0 days 00:00:58.468645
zh,write,0.125,0 days 00:00:58.556734
zh,read,0.669,0 days 00:00:57.619596
ent,write,0.99,0 days 00:00:59.088527
ent,read,0.999,0 days 00:00:58.906758
eno,write,0.0,0 days 00:00:58.953830
eno,read,0.0,0 days 00:00:58.879351
ar,write,0.836,0 days 00:00:58.752047
ar,read,0.992,0 days 00:00:58.856951
br,write,0.756,0 days 00:00:58.685335
br,read,0.757,0 days 00:00:58.788321
de,write,0.645,0 days 00:00:58.520029
de,read,0.71,0 days 00:00:58.470424
en,write,0.298,0 days 00:00:58.223993
en,read,0.271,0 days 00:00:58.183847
eo,write,0.987,0 days 00:00:58.322114
eo,read,0.995,0 days 00:00:58.433122
es,write,0.633,0 days 00:00:58.350946
es,read,0.861,0 days 00:00:58.363530
fi,write,0.97,0 days 00:00:58.390051
fi,read,0.903,0 days 00:00:58.414000
fr,write,0.244,0 days 00:00:58.303562
fr,read,0.763,0 days 00:00:58.489885
fro,write,0.988,0 days 00:00:58.512137
fro,read,0.88,0 days 00:00:58.455277
it,write,0.931,0 days 00:00:58.386497
it,read,0.698,0 days 00:00:58.387213
ko,write,0.81,0 days 00:00:58.413934
ko,read,0.968,0 days 00:00:58.297575
nl,write,0.663,0 days 00:00:58.252349
nl,read,0.538,0 days 00:00:58.307898
pt,write,0.695,0 days 00:00:58.287256
